Global_Temp,,,Local_Temp,,,
year,avg_temp,Global Temperature MA,city,country,avg_temp,Local Temperature MA 
1808,7.63,,Cairo,Egypt,17.11,
1809,7.08,,Cairo,Egypt,19.87,
1810,6.92,,Cairo,Egypt,19.93,
1811,6.86,,Cairo,Egypt,20,
1812,7.05,,Cairo,Egypt,19.93,
1813,7.74,,Cairo,Egypt,20.51,
1814,7.59,,Cairo,Egypt,20.43,
1815,7.24,7.267142857,Cairo,Egypt,20.3,19.68285714
1816,6.94,7.211428571,Cairo,Egypt,20.51,20.13857143
1817,6.98,7.191428571,Cairo,Egypt,21.88,20.23
1818,7.83,7.2,Cairo,Egypt,11.6,20.50857143
1819,7.37,7.338571429,Cairo,Egypt,20.31,19.30857143
1820,7.62,7.384285714,Cairo,Egypt,20.58,19.36285714
1821,8.09,7.367142857,Cairo,Egypt,20.63,19.37285714
1822,8.19,7.438571429,Cairo,Egypt,20.72,19.40142857
1823,7.72,7.574285714,Cairo,Egypt,20.71,19.46142857
1824,8.55,7.685714286,Cairo,Egypt,21.44,19.49
1825,8.39,7.91,Cairo,Egypt,21,19.42714286
1826,8.36,7.99,Cairo,Egypt,20.94,20.77
1827,8.81,8.131428571,Cairo,Egypt,21.63,20.86
1828,8.17,8.301428571,Cairo,Egypt,20.99,21.01
1829,7.94,8.312857143,Cairo,Egypt,20.91,21.06142857
1830,8.52,8.277142857,Cairo,Egypt,21.25,21.08857143
1831,7.64,8.391428571,Cairo,Egypt,20.52,21.16571429
1832,7.45,8.261428571,Cairo,Egypt,20.2,21.03428571
1833,8.01,8.127142857,Cairo,Egypt,20.81,20.92
1834,8.15,8.077142857,Cairo,Egypt,20.69,20.90142857
1835,7.39,7.982857143,Cairo,Egypt,20.17,20.76714286
1836,7.7,7.871428571,Cairo,Egypt,20.59,20.65
1837,7.38,7.837142857,Cairo,Egypt,20.27,20.60428571
1838,7.51,7.674285714,Cairo,Egypt,20.21,20.46428571
1839,7.63,7.655714286,Cairo,Egypt,20.43,20.42
1840,7.8,7.681428571,Cairo,Egypt,20.56,20.45285714
1841,7.69,7.651428571,Cairo,Egypt,20.91,20.41714286
1842,8.02,7.585714286,Cairo,Egypt,20.92,20.44857143
1843,8.17,7.675714286,Cairo,Egypt,20.83,20.55571429
1844,7.65,7.742857143,Cairo,Egypt,20.66,20.59
1845,7.85,7.781428571,Cairo,Egypt,20.9,20.64571429
1846,8.55,7.83,Cairo,Egypt,21.57,20.74428571
1847,8.09,7.961428571,Cairo,Egypt,21.1,20.90714286
1848,7.98,8.002857143,Cairo,Egypt,20.89,20.98428571
1849,7.98,8.044285714,Cairo,Egypt,20.9,20.98142857
1850,7.9,8.038571429,Cairo,Egypt,20.39,20.97857143
1851,8.18,8,Cairo,Egypt,21.11,20.91571429
1852,8.1,8.075714286,Cairo,Egypt,21.04,20.98
1853,8.04,8.111428571,Cairo,Egypt,21.53,21
1854,8.21,8.038571429,Cairo,Egypt,20.74,20.99428571
1855,8.11,8.055714286,Cairo,Egypt,21.04,20.94285714
1856,8,8.074285714,Cairo,Egypt,20.49,20.96428571
1857,7.76,8.077142857,Cairo,Egypt,20.29,20.90571429
1858,8.1,8.057142857,Cairo,Egypt,20.9,20.89142857
1859,8.25,8.045714286,Cairo,Egypt,20.98,20.86142857
